model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.975
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Illinois,652,221,1803
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Indiana,140,69,245
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Iowa,90,50,136
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Kansas,40,10,119
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Kentucky,98,27,255
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Louisiana,175,89,315
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Maine,10,0,41
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Maryland,255,105,493
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Massachusetts,193,67,408
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Michigan,240,89,503
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Minnesota,201,72,447
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Mississippi,82,49,133
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Missouri,66,24,158
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Montana,2,0,14
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,National,8322,6254,10906
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Nebraska,64,18,133
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Nevada,86,4,389
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,New Hampshire,37,5,105
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,New Jersey,235,127,425
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,New Mexico,38,8,136
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,New York,490,206,1035
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,North Carolina,365,175,714
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,North Dakota,13,2,30
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Northern Mariana Islands,0,0,0
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Ohio,404,164,779
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Oklahoma,31,7,100
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Oregon,60,8,250
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Pennsylvania,211,88,435
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Puerto Rico,7,0,60
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Rhode Island,4,0,28
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,South Carolina,116,44,238
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,South Dakota,21,5,45
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Tennessee,115,40,237
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Texas,456,170,1108
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Utah,69,10,211
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Vermont,2,0,11
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Virgin Islands,0,0,1
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Virginia,156,100,235
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Washington,62,17,148
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,West Virginia,13,2,39
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Wisconsin,139,42,334
JHU,2020-06-15,10 day ahead inc hosp,2020-06-24,Wyoming,2,0,8
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Alabama,76,30,235
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Alaska,2,1,8
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Arizona,216,71,554
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Arkansas,52,17,156
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,California,401,136,789
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Colorado,21,7,60
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Connecticut,29,9,75
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Delaware,5,1,12
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,District of Columbia,6,2,18
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Florida,416,143,761
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Georgia,129,40,302
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Hawaii,1,0,3
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Idaho,2,1,6
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Illinois,63,20,149
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Indiana,41,12,99
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Iowa,37,13,98
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Kansas,7,2,14
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Kentucky,36,13,97
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Louisiana,100,35,210
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Maine,3,1,8
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Maryland,71,22,189
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Massachusetts,27,8,66
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Michigan,14,4,37
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Minnesota,37,13,86
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Mississippi,36,9,102
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Missouri,24,6,56
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Montana,1,0,2
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Nebraska,16,4,47
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Nevada,30,9,85
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,New Hampshire,3,1,7
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,New Jersey,41,17,101
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,New Mexico,13,4,35
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,New York,124,43,322
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,North Carolina,179,70,422
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,North Dakota,2,1,5
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Ohio,54,18,127
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Oklahoma,26,8,69
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Oregon,12,4,35
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Pennsylvania,50,14,134
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Puerto Rico,14,4,42
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Rhode Island,5,2,13
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,South Carolina,95,29,246
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,South Dakota,6,2,14
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Tennessee,27,10,74
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Texas,243,116,489
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Utah,24,7,65
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Vermont,1,0,3
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Virgin Islands,0,0,0
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Virginia,64,20,159
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Washington,36,10,83
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,West Virginia,2,1,6
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Wisconsin,30,10,72
LANL,2020-06-15,10 day ahead inc hosp,2020-06-24,Wyoming,1,0,4
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Alabama,26,22,30
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Alaska,1,0,1
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Arizona,165,132,204
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Arkansas,26,21,34
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,California,336,305,357
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Colorado,8,6,10
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Connecticut,0,0,0
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Delaware,2,1,2
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,District of Columbia,5,4,7
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Florida,111,93,131
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Georgia,44,37,55
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Hawaii,0,0,0
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Idaho,1,0,1
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Illinois,46,37,53
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Indiana,32,26,40
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Iowa,6,4,8
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Kansas,1,1,2
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Kentucky,20,15,27
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Louisiana,7,3,11
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Maine,1,1,2
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Maryland,44,34,55
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Massachusetts,11,7,18
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Michigan,24,8,44
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Minnesota,11,9,14
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Mississippi,35,28,40
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Missouri,26,21,32
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Montana,0,0,0
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,National,1527,1254,1833
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Nebraska,2,1,3
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Nevada,17,10,26
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,New Hampshire,3,2,4
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,New Jersey,10,6,15
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,New Mexico,5,3,8
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,New York,5,3,8
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,North Carolina,76,61,93
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,North Dakota,1,0,2
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Ohio,25,19,33
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Oklahoma,8,5,10
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Oregon,9,7,10
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Pennsylvania,26,21,30
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Rhode Island,1,0,4
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,South Carolina,54,47,66
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,South Dakota,3,2,4
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Tennessee,21,17,25
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Texas,188,168,210
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Utah,17,14,21
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Vermont,0,0,0
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Virginia,39,29,48
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Washington,11,9,14
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,West Virginia,2,1,2
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Wisconsin,15,13,18
ERDC,2020-06-15,9 day ahead inc hosp,2020-06-24,Wyoming,0,0,1
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Alabama,130,78,160
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Alaska,1,1,2
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Arizona,279,105,413
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Arkansas,34,30,59
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,California,689,618,736
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Colorado,28,21,31
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Connecticut,23,17,31
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Delaware,8,3,14
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,District of Columbia,26,11,49
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Florida,105,45,121
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Georgia,96,70,110
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Hawaii,0,0,0
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Idaho,7,5,9
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Illinois,191,168,206
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Indiana,87,63,101
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Iowa,33,17,51
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Kansas,9,9,11
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Kentucky,62,49,165
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Louisiana,69,41,87
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Maine,6,4,22
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Maryland,101,93,110
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Massachusetts,97,84,120
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Michigan,62,51,69
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Minnesota,41,18,69
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Mississippi,91,65,127
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Missouri,87,50,112
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Montana,0,0,0
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,National,3964,2988,5002
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Nebraska,22,19,23
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Nevada,47,26,77
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,New Hampshire,12,2,13
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,New Jersey,119,93,132
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,New Mexico,24,7,36
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,New York,188,179,290
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,North Carolina,119,93,150
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,North Dakota,5,3,10
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Ohio,68,54,78
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Oklahoma,19,15,30
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Oregon,23,19,55
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Pennsylvania,123,53,145
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Puerto Rico,22,20,44
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Rhode Island,17,5,22
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,South Carolina,100,41,152
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,South Dakota,13,11,15
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Tennessee,64,59,67
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Texas,330,317,343
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Utah,53,49,58
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Vermont,4,3,4
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Virginia,119,107,134
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Washington,35,34,38
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,West Virginia,5,2,16
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Wisconsin,67,58,82
Covid19Sim,2020-06-15,11 day ahead inc hosp,2020-06-25,Wyoming,1,0,1
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Alabama,36,0,75
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Alaska,5,0,20
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Arizona,136,60,212
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Arkansas,58,9,108
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,California,707,534,880
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Colorado,32,0,68
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Connecticut,30,0,65
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Delaware,9,0,28
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,District of Columbia,17,0,44
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Florida,153,72,233
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Georgia,81,22,139
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Hawaii,0,0,5
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Idaho,2,0,13
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Illinois,213,118,308
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Indiana,79,21,137
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Iowa,24,0,55
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Kansas,6,0,33
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Kentucky,58,8,107
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Louisiana,42,0,84
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Maine,5,0,19
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Maryland,107,40,175
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Massachusetts,108,40,176
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Michigan,119,48,190
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Minnesota,55,7,103
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Mississippi,81,22,139
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Missouri,102,37,168
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Montana,5,0,19
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Nebraska,15,0,40
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Nevada,79,21,137
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,New Hampshire,15,0,40
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,New Jersey,99,35,164
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,New Mexico,22,0,53
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,New York,111,43,180
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,North Carolina,91,29,153
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,North Dakota,8,0,27
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Ohio,64,12,116
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Oklahoma,27,0,60
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Oregon,37,0,77
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Pennsylvania,195,104,286
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Rhode Island,16,0,42
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,South Carolina,107,40,174
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,South Dakota,8,0,27
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Tennessee,29,0,79
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Texas,164,81,248
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Utah,41,0,83
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Vermont,4,0,17
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Virginia,117,46,187
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Washington,57,8,105
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,West Virginia,5,0,19
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Wisconsin,16,0,42
CAN,2020-06-15,11 day ahead inc hosp,2020-06-25,Wyoming,1,0,7
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Alabama,63,38,87
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Alaska,0,0,1
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Arizona,199,131,273
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Arkansas,21,8,36
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,California,440,293,597
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Colorado,21,10,32
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Connecticut,26,15,35
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Delaware,4,1,9
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,District of Columbia,6,2,12
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Florida,369,231,487
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Georgia,132,85,203
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Hawaii,0,0,1
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Idaho,0,0,4
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Illinois,46,31,62
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Indiana,51,33,77
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Iowa,42,30,61
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Kansas,3,0,7
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Kentucky,49,29,88
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Louisiana,63,40,93
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Maine,2,0,5
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Maryland,61,45,80
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Massachusetts,20,13,32
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Michigan,40,25,69
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Minnesota,41,28,64
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Mississippi,43,22,69
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Missouri,18,9,31
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Montana,0,0,2
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,National,2821,1959,3895
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Nebraska,17,9,30
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Nevada,13,5,21
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,New Hampshire,4,0,9
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,New Jersey,43,30,65
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,New Mexico,19,10,28
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,New York,81,57,108
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,North Carolina,180,125,266
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,North Dakota,1,0,3
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Ohio,42,27,68
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Oklahoma,25,14,46
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Oregon,12,5,20
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Pennsylvania,41,26,60
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Rhode Island,3,0,6
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,South Carolina,113,70,156
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,South Dakota,2,0,5
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Tennessee,42,25,67
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Texas,258,170,342
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Utah,16,9,27
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Vermont,0,0,1
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Virginia,81,48,122
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Washington,34,22,46
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,West Virginia,1,0,4
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Wisconsin,27,15,42
CU-Select,2020-06-15,11 day ahead inc hosp,2020-06-25,Wyoming,0,0,1
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Alaska,3,0,11
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Arkansas,31,5,87
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,California,583,392,729
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Colorado,139,23,209
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Connecticut,135,0,235
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Delaware,14,5,29
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,District of Columbia,53,18,82
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Idaho,2,1,5
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Illinois,206,7,468
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Iowa,0,0,1
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Kansas,11,5,19
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Maine,8,2,17
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Maryland,56,0,190
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Michigan,78,12,162
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Mississippi,22,6,56
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Missouri,74,34,133
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Montana,1,0,3
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,National,1434,4,3956
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,Nevada,56,35,83
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,New Hampshire,3,0,12
GT-DeepCOVID,2020-06-15,10 day ahead inc hosp,2020-06-25,New Jersey,180,25,272
